Price,Transmission,Year,Motor Strength (KW),Mileage,Engine Capacity,Model_206,Model_306,Model_80,Model_Alfa 147,Model_Astra,Model_Clio,Model_Cordoba,Model_Corsa,Model_Felicia,Model_Fiesta,Model_Focus,Model_Golf,Model_Ibiza,Model_Jetta,Model_Megane,Model_Mondeo,Model_Passat,Model_Polo,Model_Punto,Model_SAXO,Model_Scenic,Model_Twingo,Model_Vectra,Manufacturer_Alfa Romeo,Manufacturer_Audi,Manufacturer_Citroen,Manufacturer_Fiat,Manufacturer_Ford,Manufacturer_Opel,Manufacturer_Peugeot,Manufacturer_Renault,Manufacturer_Seat,Manufacturer_Volkswagen,Manufacturer_Škoda,Fuel Type_Benzin,Fuel Type_Dizel,Fuel Type_Plin,Manufacturer,Model,Fuel Type
1050,0,1994,66,500000,1.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,Volkswagen,Golf,Plin
1050,0,2001,55,260000,1.4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,Seat,Cordoba,Benzin
1050,0,1987,44,450000,1.6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,Volkswagen,Golf,Dizel
1100,0,2000,55,147000,1.6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Škoda,Felicia,Benzin
1100,0,1999,43,250000,1.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Renault,Twingo,Benzin
1100,0,1998,85,263852,1.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,Opel,Astra,Benzin
1100,0,1989,59,400000,1.6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Audi,80,Dizel
1100,0,1998,40,220000,1.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,Fiat,Punto,Benzin
1100,0,2003,43,300000,1.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Renault,Twingo,Benzin
1111,0,2006,103,290000,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,Volkswagen,Passat,Dizel
