Price,Transmission,Year,Motor Strength (KW),Mileage,Engine Capacity,Model_106,Model_112,Model_206,Model_306,Model_307,Model_316,Model_318,Model_406,Model_407,Model_520,Model_607,Model_626,Model_80,Model_A 140,Model_A 170,Model_A 180,Model_A 190,Model_A4,Model_A6,Model_Accent,Model_Agila,Model_Alfa 146,Model_Alfa 147,Model_Alfa 156,Model_Almera,Model_Alto,Model_Arosa,Model_Astra,Model_Atos,Model_Berlingo,Model_Brava,Model_Bravo,Model_C 180,Model_C 200,Model_C 220,Model_C4,Model_C5,Model_CE 220,Model_Caddy,Model_Civic,Model_Clio,Model_Cordoba,Model_Corsa,Model_Courier,Model_Drugi,Model_E 220,Model_E 230,Model_Escort,Model_Espace,Model_Fabia,Model_Felicia,Model_Fiesta,Model_Focus,Model_Galaxy,Model_Golf,Model_H 100,Model_Ibiza,Model_Impreza,Model_Jetta,Model_Justy,Model_Ka / Ka+,Model_Kadett,Model_Kangoo,Model_Laguna,Model_Lanos,Model_Legacy,Model_Lupo,Model_Lybra,Model_Marea,Model_Megane,Model_Mondeo,Model_Niva,Model_Partner,Model_Passat,Model_Phedra,Model_Polo,Model_Primera,Model_Punto,Model_R 5,Model_Rio,Model_Rocks-e,Model_SAXO,Model_Scenic,Model_Seicento,Model_Sharan,Model_Sierra,Model_Spark,Model_Stilo,Model_Swift,Model_Tigra,Model_Tipo,Model_Toledo,Model_Twingo,Model_Ulysse,Model_V40,Model_Vectra,Model_Vento,Model_XM,Model_Xantia,Model_Xsara,Model_Xsara Picasso,Model_Yugo Koral,Model_Zastava 101,Manufacturer_Alfa Romeo,Manufacturer_Audi,Manufacturer_BMW,Manufacturer_Chevrolet,Manufacturer_Citroen,Manufacturer_Daewoo,Manufacturer_Fiat,Manufacturer_Ford,Manufacturer_Honda,Manufacturer_Hyundai,Manufacturer_Kia,Manufacturer_Lada,Manufacturer_Lancia,Manufacturer_Mazda,Manufacturer_Mercedes-Benz,Manufacturer_Nissan,Manufacturer_Opel,Manufacturer_Peugeot,Manufacturer_Renault,Manufacturer_Seat,Manufacturer_Subaru,Manufacturer_Suzuki,Manufacturer_Volkswagen,Manufacturer_Volvo,Manufacturer_Zastava,Manufacturer_Škoda,Fuel Type_Benzin,Fuel Type_Dizel,Fuel Type_Plin,Manufacturer,Model,Fuel Type
1050,0,1994,66,500000,1.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,Volkswagen,Golf,Plin
1050,0,2001,55,260000,1.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,Seat,Cordoba,Benzin
1050,0,1987,44,450000,1.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,Volkswagen,Golf,Dizel
1100,0,1996,74,313009,1.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Audi,A4,Benzin
1100,0,1997,47,300000,1.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Ford,Courier,Dizel
1100,0,2000,55,147000,1.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Škoda,Felicia,Benzin
1100,0,1999,43,250000,1.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,Renault,Twingo,Benzin
1100,0,1998,85,263852,1.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,Opel,Astra,Benzin
1100,0,1989,59,400000,1.6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Audi,80,Dizel
1100,0,1998,40,220000,1.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fiat,Punto,Benzin
