URL,Price,Transmission,Year,Motor Strength (KW),Mileage,Engine Capacity,Manufacturer,Model,Fuel Type
https://olx.ba/artikal/62128770,1.000 KM,Manuelni,1999,44.0,250.999km,1.4,Volkswagen,Polo,Benzin
https://olx.ba/artikal/62123262,650 KM,Manuelni,2000,47.0,180.000km,1.3,Kia,Pride,Benzin
https://olx.ba/artikal/61945259,255 KM,Manuelni,2003,20.0,33.333km,2.0,Ford,Mondeo,Dizel
https://olx.ba/artikal/50491519,800 KM,Manuelni,1989,37.0,70.000km,0.9,Wartburg,353,Benzin
https://olx.ba/artikal/60376980,800 KM,Manuelni,1999,37.0,250.000km,1.1,Peugeot,106,Benzin
https://olx.ba/artikal/61947712,950 KM,Manuelni,1993,66.0,300.000km,1.8,Volkswagen,Passat,Plin
https://olx.ba/artikal/51307594,750 KM,Manuelni,1995,40.0,300.000km,1.4,Volkswagen,Golf,Benzin
https://olx.ba/artikal/61993563,400 KM,Manuelni,1998,55.0,228.444km,1.4,Volkswagen,Polo,Benzin
https://olx.ba/artikal/62106307,850 KM,Manuelni,2001,55.0,300.000km,1.9,Fiat,Punto,Dizel
https://olx.ba/artikal/58192982,800 KM,Manuelni,1987,40.0,323.000km,1.6,Volkswagen,Passat,Dizel
https://olx.ba/artikal/60335804,750 KM,Manuelni,2001,70.0,210.000km,2.0,Ford,Focus,Dizel
https://olx.ba/artikal/62079751,900 KM,Manuelni,1985,40.0,1km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62075423,1.000 KM,Manuelni,1996,51.0,300.000km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62078680,750 KM,Manuelni,1991,0.0,150.000km,1.6,Opel,Vectra,Benzin
https://olx.ba/artikal/62077187,1.000 KM,Manuelni,2001,55.0,276.963km,1.8,Ford,Fiesta,Dizel
https://olx.ba/artikal/62076962,950 KM,Manuelni,1997,66.0,685.549km,1.9,Volkswagen,Golf,Dizel
https://olx.ba/artikal/61901483,900 KM,Manuelni,1984,50.0,389.634km,1.6,Audi,80,Dizel
https://olx.ba/artikal/62074899,750 KM,Manuelni,2002,40.0,875.421km,1.3,Nissan,Cargo,Benzin
https://olx.ba/artikal/56536238,1.000 KM,Manuelni,1987,40.0,350.000km,1.6,Volkswagen,Jetta,Dizel
https://olx.ba/artikal/61894825,500 KM,Manuelni,1997,33.0,111.100km,1.2,Opel,Corsa,Benzin
https://olx.ba/artikal/61889012,950 KM,Manuelni,1986,40.0,150.000km,1.6,Ford,Fiesta,Dizel
https://olx.ba/artikal/62048298,650 KM,Manuelni,1990,44.0,8km,1.4,Opel,Kadett,Benzin
https://olx.ba/artikal/61866605,800 KM,Automatik,1999,0.0,9km,1.7,Volkswagen,Golf,Dizel
https://olx.ba/artikal/60298011,700 KM,Manuelni,1987,55.0,40.000km,1.3,Opel,Ascona,Benzin
https://olx.ba/artikal/61862559,1.000 KM,Manuelni,2000,0.0,300.000km,1.9,Škoda,Felicia,Dizel
https://olx.ba/artikal/61867856,1.000 KM,Manuelni,1998,40.0,250.000km,1.0,Opel,Corsa,Benzin
https://olx.ba/artikal/62039464,900 KM,Manuelni,2003,55.0,265.104km,1.4,Ford,Focus,Benzin
https://olx.ba/artikal/61851873,550 KM,Manuelni,1991,55.0,20km,1.6,Opel,Vectra,Benzin
https://olx.ba/artikal/59854557,900 KM,Manuelni,1990,50.0,314.251km,1.9,Volkswagen,Passat,Dizel
https://olx.ba/artikal/62006514,1.000 KM,Manuelni,1987,55.0,300.000km,1.6,Volkswagen,Jetta,Dizel
https://olx.ba/artikal/61859774,699 KM,Manuelni,2004,55.0,188.000km,1.1,Smart,ForFour,Benzin
https://olx.ba/artikal/61976634,999 KM,Manuelni,2001,44.0,200.000km,1.2,Citroen,SAXO,Benzin
https://olx.ba/artikal/60700990,1.000 KM,Manuelni,1992,55.0,380.000km,1.6,Volkswagen,Jetta,Dizel
https://olx.ba/artikal/59783202,850 KM,Manuelni,1985,0.0,390.000km,1.3,Opel,Kadett,Benzin
https://olx.ba/artikal/61770970,1.000 KM,Manuelni,2000,44.0,176.662km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/61769256,950 KM,Manuelni,2003,76.0,340.000km,1.4,Rover,25,Benzin
https://olx.ba/artikal/61751597,1.000 KM,Manuelni,2003,44.0,300.000km,1.4,Citroen,Xsara,Dizel
https://olx.ba/artikal/61932216,900 KM,Manuelni,1996,55.0,250.000km,1.9,Volkswagen,Golf,Dizel
https://olx.ba/artikal/61930128,1.000 KM,Manuelni,2000,44.0,180.891km,1.1,Citroen,Drugi,Benzin
https://olx.ba/artikal/60430571,950 KM,Manuelni,1991,65.0,53.571km,1.6,Ford,Escort,Benzin
https://olx.ba/artikal/61899131,990 KM,Manuelni,1987,51.0,100.000km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/61895104,1.000 KM,Manuelni,2000,47.0,300.000km,1.9,Škoda,Felicia,Dizel
https://olx.ba/artikal/61710035,750 KM,Manuelni,1992,53.0,444.444km,1.6,Volkswagen,Golf,Benzin
https://olx.ba/artikal/61888508,800 KM,Manuelni,1983,60.0,225.222km,1.6,Opel,Ascona,Benzin
https://olx.ba/artikal/50808203,777 KM,Manuelni,1993,47.0,555.555km,1.9,Volkswagen,Golf,Dizel
https://olx.ba/artikal/50829610,999 KM,Manuelni,1999,79.0,111.115km,1.9,Renault,Clio,Dizel
https://olx.ba/artikal/31623314,999 KM,Manuelni,1988,51.0,151.099km,1.6,Audi,80,Benzin
https://olx.ba/artikal/61863494,900 KM,Manuelni,2001,92.0,400.000km,1.8,Opel,Zafira,Plin
